Last Name,First Name,Average Salary,Team,Position,Age
Patterson,Dimitri,5350000,CLE,CB,33
Parker,Juqua,3000000,CLE,DE,38
Cousins,Oniel,800000,CLE,G,32
Greco,John,700000,CLE,G,31
Smith,Alex,850000,CLE,TE,34
Cotchery,Jerricho,1500000,PIT,WR,34
Legursky,Doug,1260000,PIT,C,30
Batch,Charlie,990000,PIT,QB,41
Burress,Plaxico,925000,PIT,WR,39
Leftwich,Byron,825000,PIT,QB,36
Pope,Leonard,725000,PIT,TE,33
Johnson,Brandon,700000,PIT,LB,33
Myers,Chris,6250000,HOU,C,34
McClain,Terrell,510000,HOU,DT,28
Norris,Moran,990000,HOU,RB,38
Graham,Shayne,990000,HOU,K,38
James,Bradie,890000,HOU,LB,35
Jones,Donnie,890000,HOU,P,36
Routt,Stanford,825000,HOU,CB,33
Forsett,Justin,700000,HOU,RB,30
Ball,Alan,700000,HOU,CB,31
Dobbins,Tim,700000,HOU,ILB,33
Wayne,Reggie,5833333,IND,WR,37
Satele,Samson,3600000,IND,C,31
Redding,Cory,3500000,IND,DE,35
Zbikowski,Tom,1895000,IND,S,31
McKinney,Brandon,1000000,IND,DT,33
Saunders,Weslye,553333,IND,WR,27
Moore,Mewelde,825000,IND,RB,34
Foster,George,700000,IND,T,36
Avery,Donnie,665000,IND,WR,32
Robinson,Laurent,6500000,JAC,WR,31
Ross,Aaron,3250000,JAC,CB,33
Mosley,C.J.,2475000,JAC,DT,33
Henne,Chad,3375000,JAC,QB,31
Rutland,Kevin,510000,JAC,CB,28
Harris,Chris,825000,JAC,S,27
Spurlock,Micheal,700000,JAC,WR,33
Palmer,Jordan,615000,JAC,QB,32
Wimbley,Kamerion,7000000,TEN,OLB,32
Hutchinson,Steve,5333333,TEN,G,38
Shaw,Tim,1100000,TEN,OLB,32
Bailey,Patrick,1100000,TEN,OLB,30
Ball,Dave,1272000,TEN,DE,32
Diles,Zac,700000,TEN,ILB,31
Reynaud,Darius,615000,TEN,RB,31
Manning,Peyton,19200000,DEN,QB,40
Mays,Joe,4000000,DEN,ILB,31
Dreessen,Joel,2833333,DEN,TE,34
Tamme,Jacob,2708333,DEN,TE,31
Florence,Drayton,2250000,DEN,CB,35
Porter,Tracy,4000000,DEN,CB,30
Woodyard,Wesley,1750000,DEN,ILB,30
Hanie,Caleb,1125000,DEN,QB,31
Caldwell,Andre,900000,DEN,WR,31
Brooking,Keith,1000000,DEN,LB,40
Stokley,Brandon,1000000,DEN,WR,40
Bannan,Justin,1000000,DEN,DT,37
Leonhard,Jim,890000,DEN,S,33
Hunter,Jason,700000,DEN,DE,33
Winston,Eric,5500000,KC,RT,32
Boss,Kevin,3000000,KC,TE,32
Hillis,Peyton,2800000,KC,RB,30
Quinn,Brady,1500000,KC,QB,31
Hochstein,Russ,990000,KC,G,38
Elam,Abram,850000,KC,S,34
Jones,Edgar,700000,KC,OLB,31
Bartell,Ron,3000000,OAK,CB,34
Tollefson,Dave,1200000,OAK,DE,34
Barnes,Khalif,2000000,OAK,LT,34
Carter,Andre,925000,OAK,DE,37
Carlisle,Cooper,925000,OAK,G,39
Spencer,Shawntae,825000,OAK,CB,34
Hagan,Derek,700000,OAK,WR,31
Schmitt,Owen,700000,OAK,FB,31
Leinart,Matt,700000,OAK,QB,33
Wheeler,Philip,700000,OAK,OLB,31
Lee,Pat,680000,OAK,CB,32
McCann,Bryan,540000,OAK,CB,28
Meachem,Robert,6475000,SD,WR,31
Gaither,Jared,6150000,SD,T,30
Johnson,Jarret,4750000,SD,OLB,35
Royal,Eddie,4500000,SD,WR,30
McClain,LeRon,2750000,SD,FB,31
Garay,Antonio,3300000,SD,DE,36
Whitehurst,Charlie,1525000,SD,QB,34
McMichael,Randy,1350000,SD,TE,37
Bigby,Atari,1250000,SD,S,34
Brown,Ronnie,1000000,SD,RB,34
Franklin,Aubrayo,890000,SD,DT,36
Hadnot,Rex,890000,SD,G,34
Nelson,Kyle,435000,SD,LS,29
Battle,Jackie,700000,SD,FB,32
Lynch,Corey,700000,SD,S,31
Parrish,Roscoe,700000,SD,WR,34
Rosario,Dante,700000,SD,TE,31
Carr,Brandon,10020000,DAL,CB,30
Bernadeau,Mackenzy,2875000,DAL,C,30
Orton,Kyle,3500000,DAL,QB,33
Connor,Dan,3250000,DAL,ILB,30
Vickers,Lawrence,1200000,DAL,FB,33
Moorman,Brian,925000,DAL,P,40
Peprah,Charlie,700000,DAL,S,33
Ogletree,Kevin,640000,DAL,WR,29
Bennett,Martellus,2500000,NYG,TE,29
Carr,David,990000,NYG,QB,37
Bernard,Rocky,925000,NYG,DT,37
Locklear,Sean,890000,NYG,T,35
Blackburn,Chase,825000,NYG,OLB,33
Molden,Antwaun,700000,NYG,CB,31
Coe,Michael,700000,NYG,CB,32
Tryon,Justin,700000,NYG,CB,32
Bell,Demetress,7000000,PHI,RT,32
Mathis,Evan,5100000,PHI,G,34
McBriar,Mat,832500,PHI,P,37
Gibson,Mike,665000,PHI,C,30
Dunlap,King,1200000,PHI,LT,30
Tennant,Matt,585000,PHI,G,29
Landri,Derek,1100000,PHI,DT,32
Scott,Jake,825000,PHI,G,35
Atogwe,Oshiomogho,825000,PHI,S,35
Garcon,Pierre,8500000,WAS,WR,30
Morgan,Josh,5750000,WAS,WR,31
Fletcher,London,5375000,WAS,ILB,41
Griffin,Cedric,2500000,WAS,CB,33
Forbath,Kai,480000,WAS,K,29
Grossman,Rex,1300000,WAS,QB,36
Williams,Keiland,585000,WAS,RB,30
Rackers,Neil,990000,WAS,K,40
Williams,Madieu,890000,WAS,S,34
Cooley,Chris,825000,WAS,TE,34
Golston,Kedric,790000,WAS,DT,33
Grant,Ryan,750000,WAS,RB,33
Kehl,Bryan,700000,WAS,ILB,32
Lee,James,700000,WAS,T,31
Bush,Michael,3500000,CHI,RB,32
Davis,Kellen,3000000,CHI,TE,30
Weems,Eric,1400000,CHI,WR,31
Campbell,Jason,3500000,CHI,QB,34
Idonije,Israel,2500000,CHI,DE,35
Costanzo,Blake,932500,CHI,OLB,32
Steltz,Craig,820000,CHI,S,30
Bell,Kahlil,1260000,CHI,RB,29
McCown,Josh,875000,CHI,QB,37
Hayden,Kelvin,825000,CHI,CB,33
Wilhite,Jonathan,725000,CHI,CB,32
Rachal,Chilo,700000,CHI,G,30
Bowman,Zackary,615000,CHI,CB,31
Eldridge,Brody,540000,CHI,TE,29
Pressley,DeMario,540000,CHI,DT,30
Backus,Jeff,3000000,DET,T,38
Hill,Shaun,2750000,DET,QB,36
Robiskie,Brian,665000,DET,WR,28
Heller,Will,890000,DET,TE,25
Muhlbach,Don,890000,DET,LS,35
Graham,Ben,890000,DET,P,42
Coleman,Erik,890000,DET,S,34
Osgood,Kassim,825000,DET,WR,36
Smith,Kevin,765000,DET,RB,29
Fluellen,Andre,765000,DET,DT,31
Miller,Justin,700000,DET,CB,32
Stovall,Maurice,700000,DET,WR,31
Brown,Everette,615000,DET,OLB,29
Long,Lance,465000,DET,WR,30
Finley,Jermichael,7000000,GB,TE,29
Saturday,Jeff,3875000,GB,C,41
Bush,Jarrett,1750000,GB,CB,32
Benson,Cedric,825000,GB,RB,33
Hargrove,Anthony,825000,GB,DE,33
Walden,Erik,725000,GB,OLB,31
Carlson,John,5000000,MIN,TE,32
Guion,Letroy,3000000,MIN,DE,29
Evans,Fred,1075000,MIN,DT,32
Simpson,Jerome,2000000,MIN,WR,30
Henderson,Erin,2000000,MIN,ILB,30
Carr,Chris,825000,MIN,CB,33
Mitchell,Marvin,725000,MIN,OLB,31
Aromashodu,Devin,700000,MIN,WR,32
Felton,Jerome,700000,MIN,FB,30
Abraham,John,5906000,ATL,OLB,38
Douglas,Harry,3125000,ATL,WR,30
Hope,Chris,990000,ATL,S,35
McClure,Todd,990000,ATL,C,39
Zelenka,Joe,925000,ATL,LS,40
Redman,Chris,825000,ATL,QB,39
Polite,Lousaka,700000,ATL,RB,34
Tolbert,Mike,2500000,CAR,FB,30
Austin,Thomas,510000,CAR,C,29
Anderson,Derek,825000,CAR,QB,33
Smith,Reggie,765000,CAR,S,30
Applewhite,Antwan,765000,CAR,DE,30
Grubbs,Ben,7200000,NO,G,32
Lofton,Curtis,5500000,NO,ILB,30
Bunkley,Brodrick,5000000,NO,DT,32
Hawthorne,David,3800000,NO,ILB,31
Chamberlain,Chris,1350000,NO,ILB,30
McBride,Turk,1000000,NO,DE,31
Graham,Daniel,990000,NO,TE,37
Rogers,Shaun,925000,NO,DT,37
Kasay,John,925000,NO,K,46
McCown,Luke,825000,NO,QB,35
Camarillo,Greg,700000,NO,WR,34
Mack,Elbert,700000,NO,CB,30
Ayodele,Remi,700000,NO,DT,33
Roby,Courtney,700000,NO,WR,33
Robinson,William,615000,NO,T,31
Schouman,Derek,615000,NO,TE,31
Jackson,Vincent,11111111,TB,WR,33
Nicks,Carl,9500000,TB,G,31
Wright,Eric,7500000,TB,CB,31
Barber,Ronde,3000000,TB,S,41
Clark,Dallas,2700000,TB,TE,37
Orlovsky,Dan,1250000,TB,QB,33
Gibson,Gary,1000000,TB,DT,34
Parker,Preston,795000,TB,WR,29
Okoye,Amobi,1300000,TB,DT,29
McDonald,Brandon,700000,TB,CB,31
Gilberry,Wallace,700000,TB,DE,31
Snyder,Adam,3500000,ARI,G,34
Doucet,Early,2000000,ARI,WR,30
Leach,Mike,1091667,ARI,LS,39
Gay,William,1600000,ARI,CB,31
Feely,Jay,1500000,ARI,K,40
Haggans,Clark,1000000,ARI,LB,39
Holliday,Vonnie,925000,ARI,DT,40
Sanders,James,915000,ARI,S,32
McQuistan,Pat,700000,ARI,RT,33
Batiste,D'Anthony,700000,ARI,G,34
Ohrnberger,Rich,540000,ARI,C,30
Bartel,Richard,540000,ARI,QB,33
Flynn,Matt,6333333,SEA,QB,31
Lutui,Taitusi,12900000,SEA,G,33
Giacomini,Breno,3250000,SEA,RT,30
Robinson,Michael,2500000,SEA,FB,33
Jones,Jason,4500000,SEA,DE,30
Farwell,Heath,1500000,SEA,ILB,34
Hill,Leroy,1600000,SEA,LB,33
Hauschka,Steven,1260000,SEA,K,31
Omiyale,Frank,1225000,SEA,T,33
Trufant,Marcus,1000000,SEA,CB,35
Ruud,Barrett,890000,SEA,LB,33
Edwards,Braylon,825000,SEA,WR,33
Rogers,Carlos,7325000,SF,CB,35
Smith,Alex,9258333,SF,QB,32
Manningham,Mario,3687500,SF,WR,30
Johnson,Josh,1057500,SF,QB,30
Jacobs,Brandon,1575000,SF,RB,34
GinnJr.,Ted,1375000,SF,WR,31
Grant,Larry,1260000,SF,LB,31
Davis,Leonard,950000,SF,G,38
Cartwright,Rock,950000,SF,RB,36
McBath,Darcel,540000,SF,S,30
