Last Name,First Name,Average Salary,Team,Position
McCain,Brice,795000,PIT,CB
Moats,Arthur,795000,PIT,OLB
Palmer,Michael,730000,PIT,TE
Graham,Garrett,3750000,HOU,TE
Fitzpatrick,Ryan,3625000,HOU,QB
Clabo,Tyson,1200000,HOU,RT
Yeatman,Will,950000,HOU,LT
Manning,Danieal,855000,HOU,S
Mack,Elbert,795000,HOU,CB
Sidbury,Lawrence,730000,HOU,OLB
Powe,Jerrell,645000,HOU,DT
Lewis,Thaddeus,189705,HOU,QB
Davis,Vontae,9000000,IND,CB
Jones,Arthur,6600000,IND,DT
Nicks,Hakeem,4000000,IND,WR
Cribbs,Joshua,970000,IND,WR
Hall,Matt,465000,IND,RT
Brown,Jalil,645000,IND,CB
Carter,Chris,645000,IND,OLB
Oher,Michael,5000000,TEN,LT
Woodyard,Wesley,3937500,TEN,ILB
McCluster,Dexter,3000000,TEN,RB
Phillips,Shaun,2500000,TEN,DE
Whitehurst,Charlie,2125000,TEN,QB
Woods,Al,2000000,TEN,DT
Johnson,Antonio,1175000,TEN,DT
Succop,Ryan,745000,TEN,K
Groves,Quentin,730000,TEN,OLB
Olsen,Eric,645000,TEN,C
Talib,Aqib,9500000,DEN,CB
Ware,DeMarcus,10000000,DEN,OLB
Sanders,Emmanuel,5000000,DEN,WR
Montgomery,Will,1325000,DEN,C
Justice,Winston,1175000,DEN,LT
Walker,Vance,3340000,KC,DE
Mays,Joe,3000000,KC,ILB
Linkenbach,Jeff,900000,KC,RT
Owens,Christopher,800000,KC,CB
Williams,Kyle,740000,KC,WR
Harris,Ryan,730000,KC,LT
Mauga,Josh,645000,KC,ILB
Howard,Austin,6000000,OAK,RT
Woodley,LaMarr,5175000,OAK,OLB
Jones,James,3333333,OAK,WR
Tuck,Justin,5000000,OAK,DE
Penn,Donald,4800000,OAK,LT
Smith,Antonio,4500000,OAK,DE
Jones-Drew,Maurice,2500000,OAK,RB
Boothe,Kevin,1312500,OAK,G
Rogers,Carlos,2500000,OAK,CB
Young,Usama,1167500,OAK,S
McFadden,Darren,1750000,OAK,RB
Sims,Pat,1450000,OAK,DT
Brown,Vincent,1025000,OAK,WR
Wilson,C.J.,795000,OAK,DE
Brown,Donald,3500000,SD,RB
Flowers,Brandon,3000000,SD,CB
Clemens,Kellen,1500000,SD,QB
Conner,Kavell,900000,SD,ILB
Walker,Reggie,1025000,SD,ILB
Johnson,David,850000,SD,TE
Marshall,Richard,855000,SD,CB
Ohrnberger,Rich,795000,SD,C
Ajirotutu,Seyi,795000,SD,WR
Legursky,Doug,730000,SD,C
Melton,Henry,6875250,DAL,DT
McClain,Terrell,1016667,DAL,DT
Mincey,Jeremy,1500000,DAL,DE
Spencer,Anthony,2000000,DAL,OLB
Weeden,Brandon,615000,DAL,QB
Williams,Ryan,730000,DAL,RB
Edwards,Lavar,495000,DAL,DE
Rodgers-Cromartie,Dominique,7000000,NYG,CB
Beason,Jon,5666667,NYG,ILB
Schwartz,Geoff,4200000,NYG,G
Jennings,Rashad,2500000,NYG,RB
Walton,J.D.,3000000,NYG,C
McClain,Jameel,2262500,NYG,ILB
Ayers,Robert,1875000,NYG,DE
Brown,Josh,1250000,NYG,K
Hynoski,Henry,1000000,NYG,FB
Patterson,Mike,920000,NYG,DT
Davis,Kellen,795000,NYG,TE
Bowman,Zackary,795000,NYG,CB
Jerry,John,795000,NYG,G
Ogletree,Kevin,730000,NYG,WR
Holliday,Trindon,700000,NYG,KR
Jones,Donnie,1833333,PHI,P
Carroll,Nolan,1825000,PHI,CB
Braman,Bryan,1325000,PHI,OLB
Sanchez,Mark,2250000,PHI,QB
Gardner,Andrew,742500,PHI,G
Benn,Arrelious,645000,PHI,WR
Hatcher,Jason,6875000,WAS,DE
Jackson,DeSean,6000000,WAS,WR
Lauvao,Shawn,4250000,WAS,G
Roberts,Andre,4000000,WAS,WR
Porter,Tracy,3125000,WAS,CB
Hayward,Adam,1000000,WAS,OLB
Clark,Ryan,1020000,WAS,S
Jackson,Rob,795000,WAS,OLB
McCoy,Colt,795000,WAS,QB
Biggers,E.J.,795000,WAS,CB
Houston,Lamarr,7000000,CHI,OLB
Allen,Jared,8000000,CHI,DE
Young,Willie,3000000,CHI,OLB
Tillman,Charles,3250000,CHI,CB
Williams,D.J.,1500000,CHI,ILB
Mariani,Marc,615000,CHI,WR
Rosario,Dante,855000,CHI,TE
De,Brian,795001,CHI,C
Britton,Eben,795000,CHI,RT
Steltz,Craig,795000,CHI,S
Morgan,Josh,730000,CHI,WR
Mulligan,Matthew,730000,CHI,TE
McManis,Sherrick,730000,CHI,CB
Clausen,Jimmy,645000,CHI,QB
Tate,Golden,6200000,DET,WR
Pettigrew,Brandon,4000000,DET,TE
Mathis,Rashean,1020000,DET,CB
Orlovsky,Dan,920000,DET,QB
Tapp,Darryl,920000,DET,DE
Reynolds,Garrett,745000,DET,G
Vaughn,Cassius,730000,DET,CB
Fluellen,Andre,730000,DET,DT
Collins,Jed,710000,DET,FB
Prater,Matt,603529,DET,K
Peppers,Julius,8666667,GB,OLB
Neal,Michael,4000000,GB,OLB
Raji,B.J.,4000000,GB,DT
Starks,James,1625000,GB,RB
Quarless,Andrew,1500000,GB,TE
Flynn,Matt,1068125,GB,QB
Kuhn,John,1030000,GB,FB
Guion,Letroy,1000000,GB,DE
Joseph,Linval,6250000,MIN,DT
Munnerlyn,Captain,3750000,MIN,CB
Johnson,Charlie,2500000,MIN,G
Wootton,Corey,1500000,MIN,DT
Simpson,Jerome,1000000,MIN,WR
Evans,Fred,1000000,MIN,DT
Johnson,Tom,845000,MIN,DT
Ducasse,Vladimir,795000,MIN,G
Soliai,Paul,6400000,ATL,DT
Jackson,Tyson,5000000,ATL,DE
Asamoah,Jon,4500000,ATL,G
Hester,Devin,3000000,ATL,WR
Wilson,Josh,920000,ATL,CB
Jerry,Peria,895000,ATL,DT
Arenas,Javier,795000,ATL,CB
Weems,Eric,730000,ATL,WR
Pascoe,Bear,730000,ATL,TE
Cotchery,Jerricho,1603000,CAR,WR
DeCoud,Thomas,1762500,CAR,S
Anderson,Derek,1282000,CAR,QB
Love,Kyle,737500,CAR,DT
Cole,Colin,1125000,CAR,DT
Avant,Jason,1050000,CAR,WR
Velasco,Fernando,795000,CAR,G
Dickson,Ed,795000,CAR,TE
Webb,Joe,795000,CAR,QB
Matthews,Kevin,730000,CAR,C
Williams,Jason,715000,CAR,OLB
Hall,Alex,655000,CAR,OLB
Whittaker,Fozzy,495000,CAR,RB
Gay,Jordan,420000,CAR,K
Strief,Zach,4000000,NO,RT
Lorig,Erik,1200000,NO,FB
Goodwin,Jonathan,1020000,NO,C
Meachem,Robert,920000,NO,WR
Haralson,Parys,920000,NO,DE
McCown,Luke,920000,NO,QB
Humber,Ramon,795000,NO,OLB
Deaderick,Brandon,730000,NO,DT
Ozougwu,Cheta,570000,NO,DE
Morgan,Joseph,495000,NO,WR
Johnson,Michael,8750000,TB,DE
Collins,Anthony,6000000,TB,LT
Verner,Alterraun,6437500,TB,CB
Smith,Evan,3562500,TB,C
McDonald,Clinton,3000000,TB,DT
McCown,Josh,5000000,TB,QB
Myers,Brandon,2125000,TB,TE
Jenkins,Mike,1500000,TB,CB
Fletcher,Dane,1200000,TB,ILB
English,Larry,795000,TB,OLB
Murphy,Louis,795000,TB,WR
Cousins,Oniel,795000,TB,G
Hauschka,Steven,2850000,SEA,K
McDaniel,Tony,2875000,SEA,DT
Williams,Kevin,2100000,SEA,DT
Rice,Sidney,1400000,SEA,WR
Jackson,Tarvaris,1250000,SEA,QB
Winston,Eric,1015000,SEA,RT
Adams,Phillip,795000,SEA,CB
Schofield,O'Brien,730000,SEA,OLB
Schilling,Steve,645000,SEA,G
Wright,Eric,900000,SF,CB
Johnson,Josh,730000,SF,QB
Cook,Chris,730000,SF,CB
Cox,Perrish,695000,SF,CB
Smith,Alfonso,645000,SF,RB
